0.200	30.77%
0.400	18.70%
0.600	21.68%
0.800	18.83%
1.000	20.76%
1.200	20.69%
1.400	19.76%
1.600	20.89%
1.800	17.64%
2.000	21.75%
2.200	21.09%
2.400	20.09%
2.600	20.36%
2.800	17.84%
3.000	22.48%
3.200	18.97%
3.400	18.77%
3.600	20.16%
3.800	18.57%
4.000	19.96%
4.200	19.69%
4.400	19.50%
4.600	19.89%
4.800	17.97%
5.000	21.22%
