1	3.90%
2	3.33%
3	2.92%
4	3.11%
5	2.70%
6	2.26%
7	2.43%
8	2.15%
9	2.04%
10	2.15%
11	1.80%
12	2.10%
13	2.07%
14	1.91%
15	1.91%
16	1.88%
17	1.94%
18	1.91%
19	1.99%
20	1.77%
21	1.88%
22	1.91%
23	1.85%
24	1.85%
25	1.85%
26	1.83%
27	1.85%
28	1.83%
29	1.96%
30	1.74%
31	1.91%
32	1.77%
33	1.80%
34	1.85%
35	1.74%
36	1.77%
37	1.80%
38	1.80%
39	1.58%
40	1.77%
41	1.69%
42	1.64%
43	1.69%
44	1.47%
45	1.74%
46	1.47%
47	1.55%
48	1.61%
49	1.74%
50	1.88%
